folder,bee_id,cue,P,U,dop,dop_strength,exit_angle_deg,inner_exit_angle_deg,path_len_cm,displacement_cm,straightness,mean_speed_cms,max_radius_cm
2025-03-01 12-24-23.W 36 TB P 4.2 U 8,W36,TB,4.2,8.0,0.05,weak,26.876280268043956,247.87910235080506,7024.1961127798195,36.45248917152298,0.005189560283660266,13.160113963393577,62.94973053794592
2025-03-01 12-47-40.W 36 LR P 4.2 U 8,W36,LR,4.2,8.0,0.05,weak,274.1421623236867,244.08516088831203,2983.7413008486656,42.533589362291075,0.014255119688222717,13.511812113477964,61.49195892179725
2025-03-01 12-58-48.Tagless TB P 4.2 U 8,unknown,TB,4.2,8.0,0.05,weak,50.9161819504439,235.94262415792693,1320.8805984599867,40.317620180759675,0.03052328895417644,10.667450563817617,43.400992258703035
2025-03-02 14-42-48.W 27 TB P 4.2 U 8,W27,TB,4.2,8.0,0.05,weak,51.8662020679551,285.7306353214192,6252.499809732786,47.56253160503549,0.007606962503381215,13.04413061336254,55.41671737553568
2025-03-02 15-20-55. R 2 TB TB P 4.2 U 8,R2,TB,4.2,8.0,0.05,weak,284.345505497532,285.70717435827373,955.6780135630321,48.390554377894865,0.050634788800342376,12.828919466975666,48.39585421293853
2025-03-02 15-45-23.R 11 LR P 4.2 U 8,R11,LR,4.2,8.0,0.05,weak,282.45895407778016,282.45895407778016,870.3244071381395,48.78110685501098,0.056049337988137514,7.48591557553254,52.68199527352774
2025-03-02 16-33-36.W 51 LR P 4.2 U 8,W51,LR,4.2,8.0,0.05,weak,284.58922511380877,284.58922511380877,2193.196591437849,4.055004710231539,0.0018489016105816113,11.694522133583607,54.36161358164416
2025-03-04 15-44-37.R 11 LR P 4.2 U 8,R11,LR,4.2,8.0,0.05,weak,332.01559864285286,332.01559864285286,1267.4899523196968,53.29712009367862,0.04204934326787908,6.6119914813062,56.544952367828564
2025-03-04 16-57-28.W 31 TB P 5 U 0 ,W31,TB,5.0,0.0,1.0,strong,309.19556086587096,309.19556086587096,4150.6778125492365,11.129774360695725,0.0026814353855762444,8.67445182565475,64.24081280089784
2025-03-04 17-20-50.W 26 LR P 5 U 0,W26,LR,5.0,0.0,1.0,strong,30.20689130097179,30.20689130097179,389.22677779796607,98.47756737409796,0.25300820239355215,3.025894736842105,98.47756737409796
2025-03-05 16-15-12.W 31 LR P 0 U 1,W31,LR,0.0,1.0,0.07,weak,91.4349611813318,91.4349611813318,675.2986869389817,48.49388399416983,0.07181101478811495,15.244112458654905,56.43545234017355
2025-03-06 12-53-47. R 62 TB P 0.5 U 1,R62,TB,0.5,1.0,0.07,weak,76.24753550437674,41.24840801228453,2704.2943823937935,21.58136537849262,0.0079804053578624,7.566120144811928,56.484963623959246
2025-03-06 13-37-11.W 24  LR P 0.7 U 1,W24,LR,0.7,1.0,0.06,weak,10.492740356275021,10.492740356275021,5531.657350807061,47.129753083163926,0.008520005867009777,5.113902949479217,61.70279042053123
2025-03-08 15-30-32.Tagless TB P 1.5 U 1,unknown,TB,1.5,1.0,0.08,weak,85.28826209119853,85.28826209119853,1636.788858062369,39.03505575351469,0.02384855906199435,11.970001549186675,61.248297230861866
2025-03-12 18-23-15.TB P 0 U 2mp4,unknown,TB,0.0,2.0,0.04,weak,57.383068574189394,50.15321090822556,3380.5408801010885,48.728074552972025,0.014414283477475623,13.073499087591241,62.321309338299365
2025-03-17 15-53-01.Y16. P0.0U8.0. TBmp4,unknown,unknown,0.0,8.0,0.07,weak,137.09830282261532,137.09830282261532,3472.264380640173,10.367237990901913,0.002985728289788386,12.428864927227549,48.03427729819614
